Match,Batting Team,Batting Position,Batsmen name,Runs,Balls,4s,6s,Strike Rate,Out/Not out
Bangladesh Vs Pakistan,Pakistan,7,Shadab Khan ,0,0,0,0,-,not out 
India Vs Zimbabwe,India,1,KL Rahul ,51,35,3,3,145.71,c Masakadza b Sikandar Raza
India Vs Zimbabwe,India,2,Rohit Sharma (c),15,13,2,0,115.38,c Masakadza b Muzarabani
India Vs Zimbabwe,India,3,Virat Kohli ,26,25,2,0,104.00,c Burl b Williams
India Vs Zimbabwe,India,4,Suryakumar Yadav ,61,25,6,4,244.00,not out 
India Vs Zimbabwe,India,5,Rishabh Pant †,3,5,0,0,60.00,c Burl b Williams
India Vs Zimbabwe,India,6,Hardik Pandya ,18,18,2,0,100.00,c Muzarabani b Ngarava
India Vs Zimbabwe,India,7,Axar Patel ,0,0,0,0,-,not out 
India Vs Zimbabwe,Zimbabwe,1,Wessly Madhevere ,0,1,0,0,0.00,c Kohli b Kumar
India Vs Zimbabwe,Zimbabwe,2,Craig Ervine (c),13,15,2,0,86.66,c & b Pandya
India Vs Zimbabwe,Zimbabwe,3,Regis Chakabva †,0,6,0,0,0.00, b Arshdeep Singh
India Vs Zimbabwe,Zimbabwe,4,Sean Williams ,11,18,0,1,61.11,c Kumar b Mohammed Shami
India Vs Zimbabwe,Zimbabwe,5,Sikandar Raza ,34,24,3,0,141.66,c Yadav b Pandya
India Vs Zimbabwe,Zimbabwe,6,Tony Munyonga ,5,4,1,0,125.00,lbw b Mohammed Shami
India Vs Zimbabwe,Zimbabwe,7,Ryan Burl ,35,22,5,1,159.09, b Ashwin
India Vs Zimbabwe,Zimbabwe,8,Wellington Masakadza ,1,7,0,0,14.28,c Sharma b Ashwin
India Vs Zimbabwe,Zimbabwe,9,Richard Ngarava ,1,2,0,0,50.00, b Ashwin
India Vs Zimbabwe,Zimbabwe,10,Tendai Chatara ,4,4,1,0,100.00,c & b Patel
India Vs Zimbabwe,Zimbabwe,11,Blessing Muzarabani ,0,2,0,0,0.00,not out 
New Zealand Vs Pakistan,New Zealand,1,Finn Allen ,4,3,1,0,133.33,lbw b Shaheen Shah Afridi
New Zealand Vs Pakistan,New Zealand,2,Devon Conway †,21,20,3,0,105.00,run out (Shadab Khan)
New Zealand Vs Pakistan,New Zealand,3,Kane Williamson (c),46,42,1,1,109.52, b Shaheen Shah Afridi
New Zealand Vs Pakistan,New Zealand,4,Glenn Phillips ,6,8,1,0,75.00,c & b Mohammad Nawaz
New Zealand Vs Pakistan,New Zealand,5,Daryl Mitchell ,53,35,3,1,151.42,not out 
New Zealand Vs Pakistan,New Zealand,6,James Neesham ,16,12,1,0,133.33,not out 
New Zealand Vs Pakistan,Pakistan,1,Mohammad Rizwan †,57,43,5,0,132.55,c Phillips b Boult
New Zealand Vs Pakistan,Pakistan,2,Babar Azam (c),53,42,7,0,126.19,c Mitchell b Boult
New Zealand Vs Pakistan,Pakistan,3,Mohammad Haris ,30,26,2,1,115.38,c Allen b Santner
New Zealand Vs Pakistan,Pakistan,4,Shan Masood ,3,4,0,0,75.00,not out 
New Zealand Vs Pakistan,Pakistan,5,Iftikhar Ahmed ,0,0,0,0,-,not out 
India Vs England,India,1,KL Rahul ,5,5,1,0,100.00,c †Buttler b Woakes
India Vs England,India,2,Rohit Sharma (c),27,28,4,0,96.42,c Curran b Jordan
India Vs England,India,3,Virat Kohli ,50,40,4,1,125.00,c Rashid b Jordan
India Vs England,India,4,Suryakumar Yadav ,14,10,1,1,140.00,c Salt b Rashid
India Vs England,India,5,Hardik Pandya ,63,33,4,5,190.90,hit wicket b Jordan
India Vs England,India,6,Rishabh Pant †,6,4,1,0,150.00,run out (†Buttler/Jordan)
India Vs England,India,7,Ravichandran Ashwin ,0,0,0,0,-,not out 
India Vs England,England,1,Jos Buttler (c)†,80,49,9,3,163.26,not out 
India Vs England,England,2,Alex Hales ,86,47,4,7,182.97,not out 
Pakistan Vs England,Pakistan,1,Mohammad Rizwan †,15,14,0,1,107.14, b Curran
Pakistan Vs England,Pakistan,2,Babar Azam (c),32,28,2,0,114.28,c & b Rashid
Pakistan Vs England,Pakistan,3,Mohammad Haris ,8,12,1,0,66.66,c Stokes b Rashid
Pakistan Vs England,Pakistan,4,Shan Masood ,38,28,2,1,135.71,c Livingstone b Curran
Pakistan Vs England,Pakistan,5,Iftikhar Ahmed ,0,6,0,0,0.00,c †Buttler b Stokes
Pakistan Vs England,Pakistan,6,Shadab Khan ,20,14,2,0,142.85,c Woakes b Jordan
Pakistan Vs England,Pakistan,7,Mohammad Nawaz ,5,7,0,0,71.42,c Livingstone b Curran
Pakistan Vs England,Pakistan,8,Mohammad Wasim ,4,8,0,0,50.00,c Livingstone b Jordan
Pakistan Vs England,Pakistan,9,Shaheen Shah Afridi ,5,3,1,0,166.66,not out 
Pakistan Vs England,Pakistan,10,Haris Rauf ,1,1,0,0,100.00,not out 
Pakistan Vs England,England,1,Jos Buttler (c)†,26,17,3,1,152.94,c †Mohammad Rizwan b Haris Rauf
Pakistan Vs England,England,2,Alex Hales ,1,2,0,0,50.00, b Shaheen Shah Afridi
Pakistan Vs England,England,3,Phil Salt ,10,9,2,0,111.11,c Iftikhar Ahmed b Haris Rauf
Pakistan Vs England,England,4,Ben Stokes ,52,49,5,1,106.12,not out 
Pakistan Vs England,England,5,Harry Brook ,20,23,1,0,86.95,c Shaheen Shah Afridi b Shadab Khan
Pakistan Vs England,England,6,Moeen Ali ,19,13,3,0,146.15, b Mohammad Wasim
Pakistan Vs England,England,7,Liam Livingstone ,1,1,0,0,100.00,not out 
